Date,Symbol,LTP,%Change,High,Low,Open,Quantity,Turnover
2019-1-1,ADBL,346.0,-0.57,350.0,344.0,348.0,22211.0,7679732.0
2019-1-1,AKJCL,97.0,-1.02,98.0,96.0,98.0,1030.0,100150.0
2019-1-1,ALICL,616.0,0.16,631.0,604.0,615.0,4796.0,2960487.0
2019-1-1,AMFI,735.0,2.08,735.0,716.0,720.0,370.0,268660.0
2019-1-1,API,153.0,0.0,155.0,148.0,153.0,19960.0,2991908.0
2019-1-1,BARUN,112.0,-1.75,114.0,112.0,114.0,50.0,5600.0
2019-1-1,BHBL,139.0,2.96,139.0,135.0,135.0,20.0,2760.0
2019-1-1,BOKL,330.0,-0.6,333.0,330.0,332.0,5605.0,1852528.0
2019-1-1,BPCL,375.0,-1.57,382.0,375.0,381.0,1927.0,723415.0
2019-1-1,CBBL,843.0,-1.06,854.0,840.0,852.0,3007.0,2542000.0
2019-1-1,CBL,162.0,-1.22,164.0,162.0,164.0,11402.0,1855960.0
2019-1-1,CCBL,172.0,0.58,173.0,169.0,171.0,12714.0,2170538.0
2019-1-1,CFCL,111.0,0.0,111.0,109.0,111.0,2908.0,319754.0
2019-1-1,CHCL,685.0,-0.44,695.0,678.0,688.0,9459.0,6478508.0
2019-1-1,CHL,104.0,-0.95,105.0,103.0,105.0,94.0,9692.0
2019-1-1,CIT,2150.0,1.18,2200.0,2125.0,2125.0,1960.0,4238340.0
2019-1-1,CLBSL,705.0,1.0,705.0,677.0,698.0,1157.0,795773.0
2019-1-1,CMF1,9.06,-1.31,9.18,9.0,9.18,1500.0,13530.0
2019-1-1,CZBIL,212.0,0.75,215.0,207.0,210.42,9030.0,1916678.0
2019-1-1,DBBL,125.0,-1.57,127.0,125.0,127.0,7953.0,1001653.0
2019-1-1,DDBL,652.0,1.24,656.0,644.0,644.0,3031.0,1966812.0
2019-1-1,DHPL,98.0,-1.01,99.0,98.0,99.0,11.0,1078.0
2019-1-1,EBL,538.0,-0.19,548.0,536.0,539.0,5264.0,2846534.0
2019-1-1,EIC,850.0,0.0,867.0,849.0,850.0,561.0,479199.0
2019-1-1,FMDBL,383.0,0.79,400.0,379.0,380.0,5947.0,2280954.0
2019-1-1,FOWAD,1500.0,0.67,1518.0,1490.0,1490.0,400.0,602520.0
2019-1-1,GBBL,191.0,1.06,192.0,187.0,189.0,10648.0,2030537.0
2019-1-1,GBIME,272.0,-1.09,278.0,272.0,275.0,6979.0,1906985.0
2019-1-1,GBLBS,441.0,-1.78,454.0,441.0,449.0,2800.0,1244710.0
2019-1-1,GDBL,192.0,0.0,193.0,190.0,192.0,4137.0,793592.0
2019-1-1,GFCL,119.0,-1.65,121.0,119.0,121.0,353.0,42445.0
2019-1-1,GILB,1130.0,-0.18,1145.0,1130.0,1132.0,160.0,181175.0
2019-1-1,GLICL,735.0,-1.74,762.0,733.0,748.0,1418.0,1043134.0
2019-1-1,GRDBL,109.0,-0.91,110.0,109.0,110.0,50.0,5450.0
2019-1-1,GUFL,106.0,0.0,106.0,106.0,106.0,2.0,210.0
2019-1-1,HATH,132.0,-0.75,133.0,131.0,133.0,90.0,11800.0
2019-1-1,HBL,475.0,-0.84,482.0,473.0,479.0,1610.0,764450.0
2019-1-1,HGI,410.0,0.99,414.0,406.0,406.0,4461.0,1827924.0
2019-1-1,HIDCL,152.0,-1.65,160.0,151.0,154.55,6502.0,991547.0
2019-1-1,HPPL,184.0,0.0,188.0,183.0,184.0,380.0,70116.0
2019-1-1,ICFC,152.0,-1.3,155.0,152.0,154.0,1259.0,192888.0
2019-1-1,IGI,483.0,-1.02,488.0,483.0,488.0,140.0,67720.0
2019-1-1,JBBL,134.0,-0.74,137.0,134.0,135.0,1721.0,232728.0
2019-1-1,JBNL,173.0,0.0,173.0,171.0,173.0,8174.0,1409426.0
2019-1-1,JEFL,110.0,2.8,116.0,107.0,107.0,46753.0,5264112.0
2019-1-1,JFL,170.0,-1.16,172.0,170.0,172.0,2250.0,382500.0
2019-1-1,KBBL,214.0,-1.38,217.0,214.0,217.0,6932.0,1490986.0
2019-1-1,KBL,246.0,0.0,250.0,246.0,246.0,13222.0,3263952.0
2019-1-1,KEBL,218.0,0.93,218.0,213.0,216.0,231.0,49853.0
2019-1-1,KKHC,91.0,0.0,92.0,91.0,91.0,174.0,15882.0
2019-1-1,KMCDB,1009.0,9.91,1009.0,907.0,918.0,3762.0,3637286.0
2019-1-1,KMFL,994.0,2.47,994.0,970.0,970.0,46.0,45604.0
2019-1-1,KNBL,123.0,0.82,123.0,120.0,122.0,820.0,99508.0
2019-1-1,KPCL,102.0,-1.92,104.0,101.0,104.0,710.0,72710.0
2019-1-1,KRBL,100.0,0.0,101.0,98.0,100.0,2410.0,240233.0
2019-1-1,KSBBL,138.0,0.73,139.0,136.0,137.0,8872.0,1208262.0
2019-1-1,LBBL,171.0,-0.58,173.0,170.0,172.0,33427.0,5723181.0
2019-1-1,LBL,224.0,-0.44,225.0,222.0,225.0,7642.0,1705288.0
2019-1-1,LFC,135.0,0.75,135.0,134.0,134.0,490.0,66150.0
2019-1-1,LGIL,544.0,0.93,548.0,535.0,539.0,5889.0,3185746.0
2019-1-1,LICN,1641.0,0.0,1680.0,1640.0,1641.0,773.0,1272230.0
2019-1-1,LLBS,800.0,0.13,805.0,799.0,799.0,424.0,340281.0
2019-1-1,LVF1,10.1,1.92,10.1,9.91,9.91,2000.0,20200.0
2019-1-1,MBL,207.0,0.49,208.0,205.0,206.0,5849.0,1207315.0
2019-1-1,MDB,291.0,0.0,291.0,290.0,291.0,570.0,165400.0
2019-1-1,MEGA,177.0,-0.56,181.0,174.0,178.0,17209.0,3025290.0
2019-1-1,MERO,1055.0,1.05,1055.0,1040.0,1044.0,1022.0,1071331.0
2019-1-1,MIDBL,155.0,0.0,155.0,155.0,155.0,70.0,10850.0
2019-1-1,MLBBL,930.0,5.44,930.0,865.0,882.0,390.0,354650.0
2019-1-1,MLBL,171.0,1.18,171.0,169.0,169.0,395.0,67136.0
2019-1-1,MMFDB,980.0,0.0,982.0,962.0,980.0,270.0,263470.0
2019-1-1,MNBBL,354.0,0.57,359.0,348.0,352.0,1616.0,565898.0
2019-1-1,MSLB,1270.0,1.6,1300.0,1250.0,1250.0,195.0,250355.0
